class,x,y
1,-0.11883,-0.13216
1,0.024634,0.62763
1,0.25885,0.58807
1,-0.45984,0.47533
1,-0.52376,0.1709
1,0.53547,-0.30848
1,-0.57493,-0.11398
1,0.32987,-0.1165
1,0.17595,0.23464
1,0.39497,0.75941
2,1.3628,1.41
1,0.045165,-0.62425
1,0.84243,0.48266
1,0.40314,0.018512
1,-0.46327,0.47688
1,0.64816,-0.19479
1,0.71167,-0.11552
1,-0.28908,-0.14769
2,-1.6127,-1.2933
2,-0.23497,-1.4056
2,1.6201,-0.066661
3,2.6367,0.49223
1,0.18122,-0.60125
2,0.48522,-0.99767
2,1.2446,1.9256
1,-0.38602,-0.55755
1,-0.44957,0.089714
1,0.2207,0.61047
1,-0.14963,0.22876
2,-1.6325,-0.2183
1,-0.86798,-0.57562
2,-1.7826,-0.33067
3,0.63149,2.5299
2,0.69616,1.5374
2,1.9499,0.87568
1,0.78606,0.73696
3,2.1691,-0.56501
1,0.37412,0.066604
1,-0.89627,-0.18387
2,1.426,1.5768
1,0.8379,0.29428
1,0.41359,0.1586
1,-0.90964,-0.49974
2,-0.93968,-1.6452
1,-0.68232,-0.8704
2,-1.8141,-1.186
2,-0.96404,-1.6138
1,0.83218,0.25732
1,0.73807,0.15471
2,0.22408,-1.2823
2,-0.12346,-1.3779
2,1.4171,-0.15387
2,-1.7613,-1.6144
2,-0.47278,1.1116
1,-0.095752,-0.23722
1,0.053854,0.091911
1,-0.38323,0.57543
1,0.99533,0.41515
1,-0.17635,-0.82669
2,-1.7879,-0.42504
2,-1.5876,-0.037496
1,0.86027,0.55405
1,-0.23815,-0.15533
2,-1.0765,-1.7789
1,0.76277,0.65385
3,-2.5841,-1.8035
2,0.35018,1.6241
1,0.8066,0.16685
1,-0.73417,0.17524
3,0.27364,2.5116
1,0.80659,-0.097376
1,-0.26315,0.28028
1,0.34757,0.15305
2,1.6339,1.2899
1,0.090151,0.53324
1,-0.076864,-0.59667
3,-2.7251,-1.9335
2,-1.7768,-1.2411
2,-1.489,-1.6
1,0.10252,0.2635
1,0.42733,0.21217
1,0.33884,-0.23011
3,-0.32589,-3.112
2,-1.4027,-1.5119
1,0.63858,0.028663
1,0.64851,0.31049
2,-1.54,-0.98289
1,0.51446,0.23177
1,-0.10303,0.23151
2,-0.86007,-1.5452
3,-2.7716,-1.592
1,0.073566,-0.030954
1,-0.74078,-0.43964
1,-0.17594,-0.82485
1,-0.97683,-0.42392
3,-1.4899,-2.878
1,0.32897,-0.21926
1,-0.32563,0.086325
1,0.61887,0.53087
1,0.94974,0.64156
1,0.042713,0.20076
2,1.2828,1.3704
2,-1.8878,-1.4882
1,-0.50734,-0.53152
3,-2.644,-0.70374
2,1.3636,-0.29965
1,-0.26493,0.26529
1,-0.50061,-0.028998
1,-0.29491,-0.72685
3,1.9631,2.4066
1,-0.073462,0.042018
1,0.42715,-0.011247
2,-1.4754,-0.21202
1,-0.34837,-0.35204
1,-0.082419,-0.43064
2,-0.181,-1.4487
1,0.25575,0.96133
2,1.7418,0.58759
2,0.75728,-0.8504
1,0.035267,0.091528
1,-0.83084,-0.75429
1,-0.064784,-0.59098
1,0.13256,0.37453
3,2.611,-0.53254
2,-1.2618,0.68097
1,0.033248,-0.45856
3,2.6493,2.2498
2,1.7631,0.7247
2,1.0027,-0.7773
1,-0.049107,0.29885
2,-1.7738,-0.35582
1,0.28842,0.77555
2,0.68498,1.5655
2,1.5718,0.78425
1,-0.49988,-0.052614
1,-0.67045,-0.09616
1,0.16815,-0.23467
2,-1.9419,-1.2431
1,-0.6688,-0.48729
1,-0.68358,0.15582
2,-0.694,0.90044
1,-0.45859,-0.45296
2,-1.3778,-1.277
2,0.53851,-1.3554
2,-1.1801,-1.457
3,1.163,-1.3413
1,-0.27846,-0.48998
1,0.1783,-0.5525
1,0.51571,0.60655
1,-0.025054,-0.65073
1,0.22117,0.7279
2,-0.88653,0.87786
2,1.3689,-0.10815
1,-0.12432,-0.32855
1,0.34536,0.76262
1,0.27893,0.91453
1,0.31461,-0.6156
1,-0.40918,-0.13861
1,-0.92801,-0.25948
3,1.1419,-1.4617
1,0.075002,0.1879
3,-0.28013,2.0214
3,0.93878,-1.815
1,0.033678,-0.22848
2,-1.7036,-0.12348
1,0.60177,0.27648
2,-1.2102,0.65093
1,0.79901,0.6986
1,0.0039434,0.55727
2,0.60727,-0.95143
1,0.37551,0.9539
1,-0.66224,-0.3484
1,0.51602,-0.31644
1,0.90094,0.45928
1,-0.71707,-0.23484
2,1.582,1.6196
3,-1.8738,-2.7799
2,1.3839,0.0083883
2,1.6205,0.99492
2,-0.94392,-1.5489
1,-0.33873,-0.6472
1,-0.82931,-0.89332
1,-0.38972,-0.074796
1,0.65959,0.73698
1,-0.23852,0.3096
2,1.8622,0.3657
1,0.066999,0.18042
1,-0.36962,-0.64323
1,0.45588,-0.34769
1,-0.28103,-0.47502
1,0.41831,0.60471
1,0.55031,0.58097
2,-1.1014,-1.8576
1,-0.50146,0.056181
1,-0.019841,0.079517
1,0.036519,0.44426
1,-0.63343,0.2491
2,0.80031,-0.78275
1,-0.013189,0.24749
2,1.7505,1.3375
1,0.58272,-0.19884
1,0.43907,0.62844
1,-0.3902,-0.32197
1,0.62328,0.68864
1,-0.79622,-0.20165
3,-2.3855,-2.0196
2,-0.24916,-1.4599
1,0.096343,-0.69698
2,-0.49122,1.2062
1,0.37916,0.54395
2,0.99332,1.6893
2,0.61877,1.7044
2,-1.8892,-0.93375
1,-0.76357,0.14331
1,0.60383,0.94013
1,-0.66287,0.037147
1,-0.83167,-0.22987
3,-0.30293,-2.4495
1,-0.16208,0.39871
1,-0.21197,-0.26113
1,0.34541,0.75291
2,1.4056,1.6696
1,-0.6926,-0.17522
1,0.35063,0.028793
1,-0.23524,0.27263
1,-0.45822,0.22262
1,0.78836,0.16239
1,0.28557,0.6363
1,0.11114,0.25795
1,-0.8441,-0.026327
2,-1.4777,-1.4161
1,-0.24027,-0.90965
1,-0.5557,-0.65739
2,-1.1161,0.75478
1,-0.74436,-0.60596
3,1.6114,-1.7246
1,-0.40131,-0.15333
1,0.15586,0.12093
2,0.98992,-0.73622
2,1.534,0.38599
1,0.16587,0.19008
1,-0.17115,-0.82132
2,1.1454,1.7534
2,0.13007,-1.5042
2,1.3222,1.8626
3,-1.7493,0.67639
1,-0.28839,0.022098
2,0.83023,-0.82422
1,0.17121,0.11256
3,-2.063,0.68553
2,-1.5459,-0.24143
1,-0.68173,-0.26105
1,0.20749,-0.26328
2,0.24732,-1.2753
1,0.19887,0.029019
2,-0.77591,-1.623
1,-0.50769,-0.20109
2,-1.2383,0.7085
1,0.20547,-0.20343
1,-0.39735,-0.93554
1,-0.58901,0.29419
1,-0.22322,0.38172
1,0.24564,-0.18642
2,0.01494,1.7143
3,-1.3567,1.3202
2,-0.60935,-1.6826
1,-0.15274,-0.51861
1,-0.74807,-0.78084
1,0.78638,0.5482
2,1.7492,1.2046
2,-0.61962,-1.6374
1,-0.39882,-0.42239
2,0.79335,-1.1808
1,-0.015243,0.29565
2,0.96996,-0.51946
2,-0.10918,1.6101
1,0.0088622,-0.66091
2,-1.1981,0.67716
2,-1.5378,-1.1994
1,0.34931,0.9431
1,0.26253,-0.28993
1,-0.33477,0.19178
2,-0.74144,-1.5432
1,-0.0039107,-0.35659
2,-1.048,-1.4669
2,1.415,1.2311
1,-0.40106,-0.50462
1,-0.25156,-0.56035
1,0.39333,-0.58896
2,-0.9647,-1.5307
1,-0.91291,-0.30502
2,1.7982,1.2815
3,1.7171,2.5418
2,0.28735,1.4237
1,0.6209,0.53232
2,-0.27587,1.1495
2,1.5381,1.7485
1,0.95258,0.43847
3,-2.2773,-2.5523
3,-2.9424,-1.306
1,0.012137,0.79853
1,0.20961,-0.11265
1,-0.016826,0.69243
1,-0.3286,0.37695
2,0.04024,-1.696
1,0.60686,-0.23043
1,-0.33662,-0.025299
2,-1.7179,-1.6841
3,-2.6651,-0.903
1,0.079279,0.70875
1,0.55229,-0.36962
2,1.5983,0.79469
1,-0.42163,-0.22621
1,0.53958,0.86462
1,-0.56823,-0.010393
2,1.1477,1.6814
1,-0.1641,-0.54366
1,0.20127,0.26811
1,-0.77366,-0.71218
1,0.44897,0.21059
2,-0.89174,-1.6885
2,1.5542,0.94304
1,-0.22722,0.62426
1,-0.43557,0.16964
2,-0.49911,1.3717
1,0.41588,0.10829
1,-0.31142,0.24287
1,-0.71223,-0.21036
2,0.056206,-1.5943
2,-1.3436,0.21684
1,-0.12877,0.063327
1,-0.03896,-0.018024
1,-0.16677,-0.0050991
1,0.71306,0.64216
1,-0.61838,-0.93845
2,-1.4916,-1.4052
1,-0.55406,0.22621
1,-0.20625,0.31775
1,-0.87809,-0.23229
1,0.29408,-0.30634
1,-0.70061,-0.51863
1,-0.20769,-0.86912
1,-0.25244,0.59916
1,-0.025539,-0.16095
2,-0.47115,1.2805
1,0.077474,-0.35964
1,-0.4697,-0.71931
1,0.077089,0.10625
1,-0.18344,0.68283
3,2.6606,0.40442
3,2.6361,1.4554
2,-0.85439,-1.8015
2,1.7951,1.326
1,-0.89324,-0.18823
1,0.0012021,0.14791
1,0.051167,0.64804
1,0.064827,0.81483
1,0.46588,0.31681
1,-0.89602,-0.73201
1,0.090392,-0.14041
1,0.54292,-0.21183
2,1.7259,0.069963
1,-0.32211,0.19886
1,-0.56758,-0.77872
1,-0.17334,-0.12427
2,1.5736,0.43074
1,0.52518,0.77709
2,-1.5857,-0.87681
3,-2.8117,-0.57669
1,0.7195,-0.18545
2,-1.2533,-1.4661
1,-0.48935,-0.82662
1,0.17908,-0.12518
1,-0.17092,-0.045921
1,-0.61951,-0.42886
2,-1.0145,0.77854
2,-0.598,-1.6051
1,-0.91572,-0.21078
1,-0.60747,0.14382
1,-0.69289,-0.8867
1,0.15649,0.4144
1,-0.80612,-0.31904
1,-0.10784,-0.2968
2,-1.097,0.89493
1,0.74599,0.68442
1,-0.36343,-0.72586
1,-0.094206,-0.11435
1,-0.20886,-0.37575
1,-0.035511,0.76722
1,-0.10563,-0.26063
1,0.4903,-0.22213
2,1.6358,0.24127
1,0.062714,-0.14094
1,0.90163,0.21319
2,0.83329,1.5962
1,0.13809,0.48807
1,-0.58637,-0.11944
2,0.96057,-0.59541
1,-0.5187,-0.99429
1,-0.06377,-0.29849
2,-1.4401,-1.4845
1,0.42992,-0.13449
1,-0.089044,0.15803
3,-2.6126,-2.4331
1,0.80383,0.8051
2,-0.27741,-1.8067
1,0.64863,0.017159
1,0.18618,0.42059
2,0.9972,1.6106
2,1.3693,-0.15987
1,0.075774,-0.067839
1,-0.17087,-0.53581
1,-0.48707,-0.36999
1,0.65987,0.50043
1,0.45391,0.099369
2,-1.4223,-1.4735
1,-0.45922,0.47022
1,0.76504,-0.13949
1,-0.40605,-0.10881
1,0.18101,-0.19139
1,-0.90913,-0.44665
2,-0.30238,-1.5255
3,-0.13972,-3.4145
1,0.097911,-0.24062
3,-2.4538,-0.40191
2,1.4222,-0.42866
1,-0.94036,-0.21029
1,0.35799,-0.40743
1,0.8087,0.22592
3,-2.1305,-2.4787
1,-0.18192,0.51465
3,-1.0986,1.92
1,0.45216,0.021144
1,-0.57452,-0.22283
1,0.80185,0.61703
1,0.8464,0.40081
1,-0.81455,-0.87542
1,0.26469,0.60289
1,0.11928,-0.014986
1,0.11419,-0.074775
2,0.36136,-1.2622
2,-0.29076,-1.4666
2,1.5432,0.37148
1,0.085012,-0.80639
1,-0.17396,-0.48059
1,-0.30423,-0.36241
1,-0.17011,-0.41536
1,0.22498,-0.50917
1,0.3937,0.24114
1,0.72008,0.64823
1,-0.70113,-0.4455
2,1.4507,-0.020286
2,1.1917,1.7382
2,0.41485,1.4607
1,-0.61924,-0.92787
1,-0.69179,-0.86626
1,-0.28754,0.38214
2,-1.3693,0.095522
2,1.1754,-0.35204
2,-0.23078,1.1695
2,-1.29,0.31903
1,0.25886,-0.61005
2,-0.74157,1.1061
2,-1.4375,-1.5797
1,-0.38294,0.40005
1,-0.70914,-0.2585
1,0.5731,-0.045381
2,0.48411,-1.2058
2,0.8984,1.8754
1,0.81159,-0.08308
1,0.55065,-0.27842
1,-0.57943,0.064204
2,1.5045,1.2832
1,0.68641,0.35368
3,-2.1417,0.66358
1,-0.54027,-0.42149
1,0.12097,0.43893
2,-0.09277,-1.4707
1,-0.59072,-0.27243
1,-0.39474,-0.58501
1,0.48769,0.79918
3,0.42671,-2.3336
3,-1.6264,-3.0239
1,0.84053,0.042031
1,-0.64771,-0.42449
1,-0.46403,0.46284
2,-1.9381,-1.2889
1,-0.7844,-0.12884
1,-0.38613,-0.63515
2,-1.5635,0.16045
1,0.44055,0.020179
3,-0.056167,-2.2091
1,0.090041,0.15642
3,2.5188,1.3857
1,0.10116,-0.48251
1,-0.73534,0.1803
1,0.84012,0.045018
1,0.3008,0.79854
3,-2.5403,-1.6323
1,-0.42082,-0.15724
1,0.87148,0.84003
3,2.5969,2.4417
1,-0.47718,-0.9349
2,0.88192,1.9466
2,0.78956,-0.88037
1,-0.0011819,-0.61932
2,0.15246,-1.3668
1,-0.18295,-0.53606
2,-1.6976,-0.6347
2,1.4336,-0.27653
2,0.35117,-1.5072
1,0.75554,-0.15286
2,0.54687,-0.94848
1,0.25358,0.022295
1,0.0099144,0.1339
2,-0.86805,0.77588
2,1.8074,0.75724
1,-0.49701,0.43724
1,-0.24566,-0.44559
1,-0.43766,-0.42626
2,-1.2447,0.11823
1,-0.26995,-0.055701
1,-0.68923,-0.75248
1,0.58711,0.84411
1,0.19203,-0.48433
1,-0.53669,-0.25102
2,-0.40583,-1.8697
1,-0.165,-0.35565
3,0.43988,-2.2226
2,-1.5037,-0.29443
1,0.16345,-0.058697
1,0.7174,0.037745
2,1.5614,1.6315
2,-0.15662,-1.4168
2,1.1827,1.4456
2,-0.4545,1.033
1,-0.91273,-0.61048
2,-1.3014,-1.4205
1,-0.76048,-0.1111
1,-0.52605,-0.962
1,-0.071679,-0.52141
2,1.5583,0.94106
1,-0.023943,0.75938
1,-0.15717,0.73163
1,0.01492,-0.057005
1,0.45818,0.52661
1,-0.28616,-0.7455
1,-0.7621,-0.38636
1,0.29488,0.2769
2,-1.5084,-1.2169
1,-0.66049,-0.59718
1,0.034544,-0.070141
1,0.019403,-0.79784
1,0.5411,-0.22973
1,-0.046793,-0.19359
1,0.97535,0.64943
3,-2.6901,-2.3798
2,-1.4472,-1.6999
2,1.4812,0.49926
2,0.10825,1.4839
3,0.5324,-2.0812
1,-0.74986,-0.50956
1,0.79102,0.89444
2,0.51853,1.761
1,0.57788,0.66319
2,1.6197,0.70146
1,-0.62131,-0.24574
1,-0.33939,-0.52854
2,0.58926,1.4928
1,0.57159,0.73036
2,-1.7894,-0.38257
2,-0.034836,1.3861
1,0.47784,0.89359
1,0.23756,0.46281
2,1.4493,0.28444
2,-1.7189,-1.1597
2,1.5902,0.059686
1,-0.39049,0.35101
1,-0.11222,0.68917
1,0.24229,-0.50895
1,-0.69028,-0.4663
1,-0.023299,-0.76269
1,0.062747,-0.57967
1,0.33245,-0.37371
1,-0.57713,-0.8963
1,0.5733,0.0035658
1,-0.47538,-0.75257
2,0.37422,-1.2984
1,0.10984,0.69509
1,0.72165,-0.1373
1,0.0010392,0.29103
1,-0.09236,-0.32035
2,-1.2224,0.71732
1,-0.4889,-0.16131
1,-0.061353,-0.60766
2,0.68642,-1.1103
2,-0.7888,1.0654
1,-0.090795,-0.20876
1,-0.35419,-0.64643
2,1.6882,1.0176
2,1.6565,0.27341
1,-0.86776,-0.36811
1,-0.3951,-0.36643
1,0.34188,-0.16525
1,0.19419,0.73712
1,0.20435,0.90361
1,0.90636,0.53895
1,-0.92933,-0.22352
3,3.4279,1.9052
2,0.33455,-1.2434
2,-0.77083,0.94959
1,-0.66602,-0.43841
1,-0.014253,-0.18005
2,-1.2822,0.060975
1,-0.34828,0.005912
2,1.6306,0.60603
1,0.46027,-0.083793
1,-0.18793,0.056648
1,-0.65788,0.030334
1,-0.51718,-0.22925
1,-0.89679,-0.73581
1,-0.80125,-0.065058
1,0.14248,0.87605
2,-0.72178,-1.528
2,1.7863,0.17694
3,0.12788,-2.5215
1,0.61005,0.86537
1,-0.25767,-0.17682
1,0.39626,-0.37087
3,1.4779,-1.358
2,-1.918,-0.64254
1,0.39581,0.30055
1,0.32587,-0.063614
2,-1.4488,-1.3605
1,0.56617,0.034132
1,0.072683,-0.20004
1,-0.41354,-0.35487
2,-1.5209,-1.3773
1,-0.44815,0.36365
1,-0.46977,0.37105
2,1.4002,1.5268
3,-3.4499,-1.6538
1,0.43465,0.32941
1,0.50933,0.44222
1,0.47142,0.95739
2,1.1953,1.3989
2,0.42379,1.7169
3,3.2388,2.0399
2,-0.14419,-1.4469
1,-0.39418,-0.80985
1,-0.54059,-0.86847
3,-1.593,-2.5463
1,-0.82875,0.042834
1,0.25096,0.22049
1,0.5632,0.5941
1,0.84567,0.82957
1,-0.25509,-0.86677
3,2.7205,1.26
1,-0.46127,-0.045823
1,-0.72301,-0.11516
3,-0.32555,-2.4686
2,-0.62942,-1.7078
1,0.29142,0.11592
1,0.31438,-0.31352
1,0.081157,0.63581
1,-0.20232,-0.87836
1,0.14417,0.14145
3,-2.5708,-1.2504
1,-0.98004,-0.36246
1,-0.39272,-0.26482
2,-1.1101,-1.6308
3,-0.56623,-2.4165
1,0.45531,-0.42528
2,1.4312,0.25143
2,-0.67993,1.0048
2,0.1245,-1.3166
2,1.5996,1.3495
2,-1.2628,-1.3425
1,-0.058387,0.49333
2,0.5018,1.5123
1,0.5075,0.8042
1,-0.23439,-0.79403
1,-0.31607,0.51831
1,0.06613,0.2903
2,-1.4933,-1.5574
2,1.1852,1.7466
1,0.39078,0.52833
2,0.35203,-1.3072
1,-0.51623,-0.45489
2,-0.26767,-1.5145
2,1.6457,1.425
1,-0.75947,0.092874
1,-0.34972,-0.68499
1,0.1197,-0.023851
1,-0.30854,-0.32447
2,1.6269,1.5086
3,-2.9689,-2.4482
2,-0.5574,1.1534
2,1.6032,0.76957
1,-0.066335,0.63967
1,0.23119,0.71264
2,0.11638,1.4356
1,0.2703,-0.30207
1,0.88539,0.72308
2,-0.68292,-1.9379
2,1.4283,1.1998
2,0.54362,-1.3215
1,0.01768,0.42214
1,0.60488,0.52075
1,-0.24052,-0.11406
2,-0.85434,-1.6509
2,1.1076,1.7017
2,-1.1374,-1.4567
2,-1.7533,-1.1889
1,-0.41843,0.56754
1,0.60315,0.40832
2,1.1581,-0.38619
1,-0.64988,-0.4431
1,-0.42085,-0.67714
1,0.74196,0.84032
2,-0.42964,-1.5422
2,-1.0402,0.49399
2,-0.4932,-1.8148
2,-0.26832,-1.4975
2,0.64476,-1.0468
2,0.64973,-0.92988
1,0.65526,0.25274
2,0.83451,-0.71543
1,-0.28608,0.068627
1,-0.7622,-0.015676
1,-0.4446,-0.69639
1,0.2328,0.57774
1,-0.12741,-0.33571
2,-0.41461,-1.6235
1,-0.44269,-0.87822
2,0.88636,-0.67195
1,0.15598,-0.44301
2,-0.40586,1.3976
1,0.92984,0.35419
1,-0.067056,0.072365
1,0.33096,0.332
1,-0.73139,-0.12811
1,-0.45238,-0.96072
1,0.93915,0.30535
2,-0.96765,0.57472
1,-0.23064,0.39198
2,1.6627,0.72545
1,0.46546,0.38052
1,0.63686,0.69226
1,0.12404,-0.33673
2,0.87136,1.6412
2,0.35972,1.7742
2,1.4237,1.3372
2,0.60189,1.5646
1,-0.13392,-0.3521
1,-0.022238,0.19543
1,-0.001459,0.20754
2,-0.4202,1.4089
1,-0.42511,0.52576
1,0.04434,0.37748
1,-0.0012821,-0.11104
1,0.37857,-0.44641
2,-1.8973,-1.4412
1,-0.76845,0.082077
1,0.2549,0.27244
2,1.0672,-0.40293
1,-0.35784,-0.77447
1,0.13598,0.67977
1,-0.13493,-0.5206
1,0.014165,-0.69036
1,-0.15853,-0.090303
1,-0.5134,-0.99346
1,0.014285,-0.29928
1,-0.016221,0.44841
1,-0.23793,-0.74561
1,-0.23148,0.12571
2,-1.464,-0.17839
1,0.4652,0.64527
2,-0.014094,-1.3362
2,-0.42484,-1.5162
1,0.53696,0.46785
1,-0.78008,-0.30639
1,-0.92847,-0.43765
1,-0.92264,-0.47366
2,-0.85686,0.92251
2,1.6219,1.5348
1,-0.62691,-0.19108
3,-2.1188,0.16722
1,0.44132,0.63872
1,0.81166,0.66977
2,-1.39,-1.6552
1,-0.62406,-0.3177
1,-0.35847,0.49158
1,-0.40394,-0.79094
1,0.12795,0.13902
2,0.026575,-1.662
1,-0.39081,-0.76257
1,-0.32503,-0.39929
1,-0.13339,-0.69061
2,-1.8551,-0.62636
1,-0.18362,0.20294
1,-0.50405,0.41234
1,-0.88894,-0.13245
1,0.039956,0.24089
2,0.24958,-1.4928
1,0.36942,-0.066706
1,-0.34089,-0.62065
1,-0.5665,0.29253
2,1.1069,1.6022
1,-0.49432,0.21294
1,-0.55804,0.22516
3,-2.5368,-2.4368
2,0.69312,-0.90083
1,-0.71987,-0.17478
1,0.10559,0.095525
2,1.5466,0.41046
1,0.58653,0.16876
1,-0.10826,-0.5044
2,-0.73125,0.86122
1,-0.53953,-0.66357
3,1.6064,-1.0162
1,-0.47718,0.039892
1,-0.87307,-0.47478
2,-0.16969,-1.5214
1,-0.090467,-0.4165
2,-1.369,0.0024382
1,-0.12649,0.08793
2,-1.2769,0.13543
2,-1.2829,-1.3302
1,0.33239,-0.10329
3,2.538,1.2001
2,1.6461,1.3412
1,-0.88278,-0.44017
1,0.22255,0.43905
1,-0.54818,0.37377
2,1.4564,-0.11763
2,-1.5246,0.30387
2,1.9021,0.53469
1,0.68486,0.66185
1,0.78358,0.0089395
1,0.027565,0.57789
2,-1.5854,-1.4567
2,-0.75277,-1.5452
2,1.4328,0.23651
1,0.628,0.43854
1,-0.36912,-0.19623
1,0.64728,-0.22931
1,-0.44879,-0.11312
1,0.50178,0.84151
1,0.3248,0.16818
2,-1.7206,-0.060521
1,0.019233,-0.64878
2,-1.5884,-1.4829
2,0.79298,-0.71386
2,1.8281,1.444
1,-0.2027,-0.092724
1,0.14201,0.70009
2,-1.6348,0.10394
2,1.3414,1.7005
2,-0.21985,1.3726
2,-1.2496,-1.3887
2,0.34532,-1.4362
1,0.44614,0.54346
2,-0.96888,0.78213
1,0.63936,0.66208
1,-0.032934,-0.32324
1,-0.57015,-0.30028
2,1.2922,1.9198
1,0.33645,0.38435
3,2.6009,1.7017
2,-0.3671,-1.4619
1,-0.71526,-0.20629
2,-0.31185,1.2708
2,0.14231,-1.2945
2,1.7026,0.26222
1,-0.16281,-0.33715
1,0.97628,0.49654
1,0.29263,-0.42545
1,-0.34338,-0.57859
1,0.34615,0.23888
2,-0.53827,-1.5473
1,0.15559,0.16763
3,-2.1096,1.1418
2,1.8864,1.2182
1,0.24611,-0.34403
1,-0.50404,-0.13772
1,-0.14565,0.23037
1,-0.7736,0.089142
1,0.5194,0.084192
2,1.5812,0.84102
1,0.75334,0.53024
1,0.81319,0.46573
2,-0.4617,1.4224
2,-0.12916,-1.5051
1,-0.17247,-0.39025
1,-0.31115,0.18192
2,-1.6779,-0.11861
2,1.661,0.41495
1,-0.27238,-0.45547
2,-1.6445,-1.6342
2,-1.2885,0.13296
1,-0.84043,-0.50615
3,0.20283,-2.4676
3,-1.5301,1.2956
2,-1.324,-1.2998
1,0.6943,0.38538
1,0.51235,0.12108
1,0.1639,0.13187
2,-1.1207,0.386
1,-0.58845,-0.73317
1,0.42621,0.27752
2,-1.5235,0.31991
1,-0.70008,-0.79718
2,0.79275,1.59
3,2.6551,2.0345
1,0.84134,0.070337
2,1.642,0.61406
1,0.44605,0.095864
1,0.57752,-0.27078
1,0.3115,-0.10724
2,-1.6192,-1.2434
1,-0.79671,-0.073118
1,-0.32356,-0.22089
1,-0.94744,-0.22666
1,0.34987,0.48601
2,0.61537,1.5616
1,0.43094,0.60021
2,1.4972,1.8758
1,0.35271,-0.46036
1,0.26851,0.72145
2,1.4073,0.084032
1,-0.28117,-0.42912
2,1.7673,1.5094
2,0.97929,-0.80383
1,-0.49097,-0.13967
2,0.69248,1.7345
1,-0.078252,-0.19532
1,0.45529,0.14723
1,0.43651,0.60384
1,0.02263,-0.010879
1,0.63793,0.16117
2,-0.16566,-1.4554
1,-0.16585,-0.29525
1,-0.80444,-0.1097
2,-1.7679,-1.1824
3,0.94072,-1.7278
1,-0.52948,-0.39247
1,-0.068077,-0.26457
1,0.7563,0.82287
2,1.5948,0.42712
1,-0.71659,-0.82359
2,0.44371,1.6946
1,-0.42048,-0.47461
1,-0.14642,-0.36562
1,-0.45379,-0.38254
1,-0.86331,-0.8006
1,0.23602,-0.42151
1,0.043764,0.66463
1,0.59643,0.30178
1,0.078747,0.36395
1,-0.21921,-0.36168
1,-0.55134,-0.62381
1,-0.086524,-0.15405
1,0.44842,0.32103
1,0.54974,-0.090407
1,-0.36255,-0.47685
1,0.10824,-0.00057044
1,-0.21406,-0.39102
1,0.42614,0.24823
1,-0.45287,-0.53945
